13fe4fddaed	ContentPipeline :> Loading [BG_TEXTURE_C]...
13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (7, 23) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (3, 6) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (24, 13) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (19, 23) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf591	CompositeAsteroidComponent :> Asteroid Instantiated @ (18, 22) [HP = 2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf591	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_5]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_E_0]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_E_1]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_E_2]

13fe4fdf5a0	ContentPipeline :> Loaded from buffer [ASTR_E_3]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_E_4]

13fe4fdf5a1	CompositeAsteroidComponent :> Asteroid Instantiated @ (7, 18) [HP = 2]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_0]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_1]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_2]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_3]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_4]

13fe4fdf5a1	ContentPipeline :> Loaded from buffer [ASTR_5]

